id_rna,titre,titre_court,objet,nature,date_creation,date_declaration,date_publication,date_dissolution,groupement,position,num_voie,type_voie,libelle_voie,lieu_dit,lat,lon,dt_maj
W9G2014969,ASSOCIATION POUR LA VALORISATION ET L'INITIATIVE CONOMIQUE ET SOCIALE (A.V.I.E.S),ASSOCIATION POUR LA VALORISATION ET...,"valoriser l'initiative économique et sociale des adhérents consommateurs, en valorisant leur pouvoir d'achat par un club d'achat utilisant le concept CORACOR",D,2005-11-16 00:00:00,2005-11-16 00:00:00,2006-02-25 00:00:00,,Simple,Active,,,ROUTE DU MORNE DIAVET,BESSON,16.229731,-61.472339,2020-01-07T17:22:07-04:00
W9G2014972,LA LUMIERE DE DELEGUE,LA LUMIERE DE DELEGUE,"développer le quartier, animation culturelle,animation sportive sous ses formes",D,2004-01-20 00:00:00,2004-11-23 00:00:00,2004-04-10 00:00:00,,Simple,Active,,,,ROUTE DE GRAND-BOIS,16.229731,-61.472339,2020-01-07T17:28:29-04:00
W9G2014982,PROMOTION ANTILLES,PROMOTION ANTILLES,"maintenir et de développer par une entraide effective les liens d'amitiés qui unissent les membres; de créer et de développer toute activité dans des domaines tels que les loisirs de nature sportive, artistique et culturelle",D,1996-11-14 00:00:00,2003-05-23 00:00:00,,,Simple,Active,,,,BELLEVUE,16.229731,-61.472339,2020-01-07T17:46:08-04:00
W9G2015060,ASSOCIATION GUADELOUPE PROPR' ET NET'.,ASSOCIATION GUADELOUPE PROPR' ET N...,traiter des dechets en guadeloupe et en particulier le déchiquetage des pneus usages,D,1996-02-13 00:00:00,1996-02-13 00:00:00,,,Simple,Active,,,,,16.229731,-61.472339,2020-01-08T12:53:00-04:00
W9G2015072,ASSOCIATION GUAVC,ASSOCIATION GUAVC,prévenir des accidents vasculaires cérébraux en guadeloupe,D,2007-06-07 00:00:00,2007-06-07 00:00:00,2007-08-25 00:00:00,,Simple,Active,,,,,16.229731,-61.472339,2020-01-08T13:35:08-04:00
W9G2015098,REPERES CREOLES,REPERES CREOLES,"promouvoir les recherches scientifiques sur l'identite et les cultures creoles dans la caraibe, l'ocean indien, les ameriques, les iles du cap vert et dans les societes comprenant des populations",D,1997-09-15 00:00:00,1999-09-16 00:00:00,1998-01-17 00:00:00,,Simple,Active,,,,Villa boisdur - l'houezel,16.229731,-61.472339,2020-01-09T10:12:27-04:00
W9G2015114,EURO CARAIBE L'AVENIR,EURO CARAIBE L'AVENIR,"pratique de l'omni-sport, qui a pour but de promouvoir le sport et de developper le niveau culturel",D,1995-06-30 00:00:00,1995-06-30 00:00:00,,,Simple,Active,,,,,16.229731,-61.472339,2020-01-09T11:30:13-04:00
W9G2015127,ASSOCIATION CABAL SURF CLUB PETIT HAVRE,ASSOCIATION CABAL SURF CLUB PETIT H...,"promouvoir, developper les sports de glisse sur la guadeloupe",D,1994-11-14 00:00:00,1994-11-14 00:00:00,1995-01-18 00:00:00,,Simple,Active,,,,,16.229731,-61.472339,2020-01-09T12:30:49-04:00
W9G2015134,J.P. RACING TEAM,J.P. RACING TEAM,"gérer et promouvoir une écurie de sport automobile, l'entretien et la préparation de voiture de course ou ayant un rapport avec la compétition automobile ainsi que l'organisation de toute manifestation ou animation ayant un lien avec jp racing team et le sport automobile dans les régions guadeloupe martinique guyane et en france métropolitaine, l'association s'interdit toutes discriminations de quelque nature qu'elle soit, dans sa vie, son organisation et son fonctionnement",D,2006-12-07 00:00:00,2008-04-30 00:00:00,,,Simple,Active,,,,,16.229731,-61.472339,2020-01-09T12:54:18-04:00
W9G2015171,COSMOS CLUB DU GOSIER,COSMOS CLUB DU GOSIER,"fonder pour propose le perfectionnement moral, intellectuel et physique de ses membres le développement du sens artistique le gout des excursions la pratique des sports",D,2002-11-05 00:00:00,2002-11-05 00:00:00,2003-01-25 00:00:00,,Simple,Active,,,,MONTAUBAN,16.229731,-61.472339,2020-01-09T16:10:04-04:00
